,NVDA,,,,,,,,,,,,,,,,
,Closing Price,Volume,,,,,,,,,,,,,,,
5/19/2020 16:00,352.22,17933049,,,,,,,,,,,,,,,
5/20/2020 16:00,352.22,192698,,,,,,,,,,,,,,,
5/21/2020 16:00,351.01,19026741,,,,,,,,,,,,,,,
5/22/2020 16:00,361.05,25969125,,,,,,,,,,,,,,,
5/26/2020 16:00,348.71,19269476,,,,,,,,,,,,,,,
5/27/2020 16:00,341.01,29397306,,,,,,,,,,,,,,,
5/28/2020 16:00,339.48,18403204,,,,,,,,,,,,,,,
5/29/2020 16:00,355.02,18647994,,,,,,,,,,,,,,,
6/1/2020 16:00,352.25,9762775,,,,,,,,,,,,,,,
6/2/2020 16:00,353.01,9783014,,,,,,,,,,,,,,,
6/3/2020 16:00,350.78,9135972,,,,,,,,,,,,,,,
6/4/2020 16:00,350.66,10606960,,,,,,,,,,,,,,,
6/5/2020 16:00,356.8,12043651,,,,,,,,,,,,,,,
6/8/2020 16:00,352.2,9693431,,,,,,,,,,,,,,,
6/9/2020 16:00,361.84,11712221,,,,,,,,,,,,,,,
6/10/2020 16:00,374.67,15804537,,,,,,,,,,,,,,,
6/11/2020 16:00,351.85,14591256,,,,,,,,,,,,,,,
6/12/2020 16:00,357.3,14272704,,,,,,,,,,,,,,,
6/15/2020 16:00,366.95,10000054,,,,,,,,,,,,,,,
6/16/2020 16:00,362.74,13392875,,,,,,,,,,,,,,,
6/17/2020 16:00,369.44,10207641,,,,,,,,,,,,,,,
6/18/2020 16:00,368.72,6360238,,,,,,,,,,,,,,,
6/19/2020 16:00,370.45,13104013,,,,,,,,,,,,,,,
6/22/2020 16:00,381.07,9961662,,,,,,,,,,,,,,,
6/23/2020 16:00,378,9377685,,,,,,,,,,,,,,,
6/24/2020 16:00,369.42,11234272,,,,,,,,,,,,,,,
6/25/2020 16:00,379.6,14774440,,,,,,,,,,,,,,,
6/26/2020 16:00,366.2,14802144,,,,,,,,,,,,,,,
6/29/2020 16:00,368,8556203,,,,,,,,,,,,,,,
6/30/2020 16:00,379.91,9197300,,,,,,,,,,,,,,,
7/1/2020 16:00,381.2,8166170,,,,,,,,,,,,,,,
7/2/2020 16:00,384.49,9101352,,,,,,,,,,,,,,,
7/6/2020 16:00,393.57,7897343,,,,,,,,,,,,,,,
7/7/2020 16:00,394.87,8944993,,,,,,,,,,,,,,,
7/8/2020 16:00,408.64,9137013,,,,,,,,,,,,,,,
7/9/2020 16:00,420.36,12363680,,,,,,,,,,,,,,,
7/10/2020 16:00,419.17,12441869,,,,,,,,,,,,,,,
7/13/2020 16:00,402.09,11426874,,,,,,,,,,,,,,,
7/14/2020 16:00,415.08,13566855,,,,,,,,,,,,,,,
7/15/2020 16:00,409.09,10099623,,,,,,,,,,,,,,,
7/16/2020 16:00,405.39,8624118,,,,,,,,,,,,,,,
7/17/2020 16:00,408.06,6657116,,,,,,,,,,,,,,,
7/20/2020 16:00,420.43,7121271,,,,,,,,,,,,,,,
7/21/2020 16:00,413.14,6941671,,,,,,,,,,,,,,,
7/22/2020 16:00,417.55,9182271,,,,,,,,,,,,,,,
7/23/2020 16:00,405.19,10291532,,,,,,,,,,,,,,,
7/24/2020 16:00,407.78,11832300,,,,,,,,,,,,,,,
7/27/2020 16:00,416.86,7303255,,,,,,,,,,,,,,,
7/28/2020 16:00,451.47,118042,,,,,,,,,,,,,,,
7/29/2020 16:00,418.62,7112692,,,,,,,,,,,,,,,
7/30/2020 16:00,424.56,7722004,,,,,,,,,,,,,,,
7/31/2020 16:00,424.59,9657150,,,,,,,,,,,,,,,
8/3/2020 16:00,440.41,10325456,,,,,,,,,,,,,,,
8/4/2020 16:00,449.11,7758390,,,,,,,,,,,,,,,
8/5/2020 16:00,451.47,6262493,,,,,,,,,,,,,,,
8/6/2020 16:00,453.42,6107892,,,,,,,,,,,,,,,
8/7/2020 16:00,447.98,8562899,,,,,,,,,,,,,,,
8/10/2020 16:00,446.6,10694898,,,,,,,,,,,,,,,
8/11/2020 16:00,434,8862763,,,,,,,,,,,,,,,
8/12/2020 16:00,457.61,11623573,,,,,,,,,,,,,,,
8/13/2020 16:00,457.72,9361489,,,,,,,,,,,,,,,
8/14/2020 16:00,462.56,9160904,,,,,,,,,,,,,,,
8/17/2020 16:00,493.48,15532523,,,,,,,,,,,,,,,
8/18/2020 16:00,490.43,12586155,,,,,,,,,,,,,,,
8/19/2020 16:00,485.54,15565558,,,,,,,,,,,,,,,
