,PDD,
,Closing Price,Volume
6/2/2020 16:00,67.3,10648061
6/3/2020 16:00,68.15,6613197
6/4/2020 16:00,66.27,6528406
6/5/2020 16:00,69.7,10034014
6/8/2020 16:00,68.31,6640242
6/9/2020 16:00,69.38,4868186
6/10/2020 16:00,72.8,8028700
6/11/2020 16:00,71.51,7476954
6/12/2020 16:00,73.11,8863837
6/15/2020 16:00,77.67,10591153
6/16/2020 16:00,78,10762001
6/17/2020 16:00,82.8,9287826
6/18/2020 16:00,82.42,10402735
6/19/2020 16:00,87.58,21769627
6/22/2020 16:00,81.79,14356494
6/23/2020 16:00,83.64,9155451
6/24/2020 16:00,84.5,8697766
6/25/2020 16:00,86,5765765
6/26/2020 16:00,85.16,8008601
6/29/2020 16:00,87.47,5249371
6/30/2020 16:00,85.84,7783139
7/1/2020 16:00,85.45,9659274
7/2/2020 16:00,93,16876194
7/6/2020 16:00,87,23647813
7/7/2020 16:00,91,16222792
7/8/2020 16:00,92.31,9972632
7/9/2020 16:00,90.25,8779838
7/10/2020 16:00,87.3,6799878
7/13/2020 16:00,88.28,12739733
7/14/2020 16:00,87.33,13783645
7/15/2020 16:00,85.3,6015910
7/16/2020 16:00,83.55,6769029
7/17/2020 16:00,82.47,5320372
7/20/2020 16:00,84.83,6256001
7/21/2020 16:00,82.58,7297732
7/22/2020 16:00,80.76,6865281
7/23/2020 16:00,79.05,6022096
7/24/2020 16:00,78.95,9860729
7/27/2020 16:00,83.44,8596458
7/28/2020 16:00,83.77,5910735
7/29/2020 16:00,84.03,4037334
7/30/2020 16:00,84.94,3433005
7/31/2020 16:00,91.8,12582788
8/3/2020 16:00,96.03,7144719
8/4/2020 16:00,94.02,4657815
8/5/2020 16:00,97.46,5061842
8/6/2020 16:00,91.62,6344840
8/7/2020 16:00,88.2,7389279
8/10/2020 16:00,87.53,5482407
8/11/2020 16:00,87.27,5623192
8/12/2020 16:00,90.11,5413311
8/13/2020 16:00,88.85,3559919
8/14/2020 16:00,85.04,6059381
8/17/2020 16:00,89.18,10747755
8/18/2020 16:00,91.59,7033091
8/19/2020 16:00,95.94,12458244
8/20/2020 16:00,97.13,12911404
8/21/2020 16:00,84,40084658
8/24/2020 16:00,83.16,15597325
8/25/2020 16:00,87.24,16341462
8/26/2020 16:00,89.25,11227551
8/27/2020 16:00,88.82,7678254
8/28/2020 16:00,89.2,6490529
8/31/2020 16:00,88.94,8205637
9/1/2020 16:00,91.36,10252748
9/2/2020 16:00,90.29,7623274
9/3/2020 16:00,85.76,8139093
9/4/2020 16:00,85.04,8390754
