Company,Ticker,,,,,,,,,,,,,,,,,,,
Nvidia Corporation,NVDA,,End,1/8/21,,,,,,,,,,,,,,,,
Pinduoduo Inc,PDD,,Start,1/8/19,,,,,,,,,,,,,,,,
Netflix Inc,NFLX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NVDA,,PDD,,NFLX,,,,,,,,,,,,,,,
,Closing Price,Volume,Closing Price,Volume,Closing Price,Volume,,,,,,,,,,,,,,
1/8/2019 16:00:00,139.83,19650429,24,3355000,320.27,15359180,,,Closing Prices,,,,,,Closing Prices,,,,,
1/9/2019 16:00:00,142.58,15431475,25.54,7322212,319.96,13343152,,,NVDA,,PDD,,NFLX,,NVDA,,PDD,,NFLX,
1/10/2019 16:00:00,145.23,13078906,26.38,4956502,324.66,13472475,,,Date,Close,Date,Close,Date,Close,Date,Volume,Date,Volume,Date,Volume
7/14/2020 16:00:00,415.08,13566855,87.33,13783645,524.88,15083300,,,7/9/2020 16:00:00,420.36,7/9/2020 16:00:00,90.25,7/9/2020 16:00:00,507.76,7/9/2020 16:00:00,12363680,7/9/2020 16:00:00,8779838,7/9/2020 16:00:00,5840541
7/15/2020 16:00:00,409.09,10099623,85.3,6015910,523.26,10066652,,,7/10/2020 16:00:00,419.17,7/10/2020 16:00:00,87.3,7/10/2020 16:00:00,548.73,7/10/2020 16:00:00,12441869,7/10/2020 16:00:00,6799878,7/10/2020 16:00:00,21605587
7/16/2020 16:00:00,405.39,8624118,83.55,6769029,527.39,24498994,,,7/13/2020 16:00:00,402.09,7/13/2020 16:00:00,88.28,7/13/2020 16:00:00,525.5,7/13/2020 16:00:00,11426874,7/13/2020 16:00:00,12739733,7/13/2020 16:00:00,18399020
7/17/2020 16:00:00,408.06,6657116,82.47,5320372,492.99,24991352,,,7/14/2020 16:00:00,415.08,7/14/2020 16:00:00,87.33,7/14/2020 16:00:00,524.88,7/14/2020 16:00:00,13566855,7/14/2020 16:00:00,13783645,7/14/2020 16:00:00,15083300
7/20/2020 16:00:00,420.43,7121271,84.83,6256001,502.41,11940306,,,7/15/2020 16:00:00,409.09,7/15/2020 16:00:00,85.3,7/15/2020 16:00:00,523.26,7/15/2020 16:00:00,10099623,7/15/2020 16:00:00,6015910,7/15/2020 16:00:00,10066652
7/21/2020 16:00:00,413.14,6941671,82.58,7297732,490.1,9127218,,,7/16/2020 16:00:00,405.39,7/16/2020 16:00:00,83.55,7/16/2020 16:00:00,527.39,7/16/2020 16:00:00,8624118,7/16/2020 16:00:00,6769029,7/16/2020 16:00:00,24498994
7/22/2020 16:00:00,417.55,9182271,80.76,6865281,489.82,6954078,,,7/17/2020 16:00:00,408.06,7/17/2020 16:00:00,82.47,7/17/2020 16:00:00,492.99,7/17/2020 16:00:00,6657116,7/17/2020 16:00:00,5320372,7/17/2020 16:00:00,24991352
7/23/2020 16:00:00,405.19,10291532,79.05,6022096,477.58,7722034,,,7/20/2020 16:00:00,420.43,7/20/2020 16:00:00,84.83,7/20/2020 16:00:00,502.41,7/20/2020 16:00:00,7121271,7/20/2020 16:00:00,6256001,7/20/2020 16:00:00,11940306
7/24/2020 16:00:00,407.78,11832300,78.95,9860729,480.45,7746247,,,7/21/2020 16:00:00,413.14,7/21/2020 16:00:00,82.58,7/21/2020 16:00:00,490.1,7/21/2020 16:00:00,6941671,7/21/2020 16:00:00,7297732,7/21/2020 16:00:00,9127218
7/27/2020 16:00:00,416.86,7303255,83.44,8596458,495.65,7863069,,,7/22/2020 16:00:00,417.55,7/22/2020 16:00:00,80.76,7/22/2020 16:00:00,489.82,7/22/2020 16:00:00,9182271,7/22/2020 16:00:00,6865281,7/22/2020 16:00:00,6954078
