Date,Closing Price,Volume
3/26/2019 16:00,359.97,7666475
3/27/2019 16:00,353.37,7852370
3/28/2019 16:00,354.61,4360960
3/29/2019 16:00,356.56,4705636
4/1/2019 16:00,366.96,7036097
4/2/2019 16:00,367.72,5158742
4/3/2019 16:00,369.75,5376623
4/4/2019 16:00,367.88,4627305
4/5/2019 16:00,365.49,3905493
4/8/2019 16:00,361.41,4653810
4/9/2019 16:00,364.71,5439228
4/10/2019 16:00,363.92,4545561
4/11/2019 16:00,367.65,6526899
4/12/2019 16:00,351.14,15646199
4/15/2019 16:00,348.87,8842344
4/16/2019 16:00,359.46,18740232
4/17/2019 16:00,354.74,18054101
4/18/2019 16:00,360.35,8353165
4/22/2019 16:00,377.34,11980534
4/23/2019 16:00,381.89,10089820
4/24/2019 16:00,374.23,6541872
4/25/2019 16:00,368.33,6255496
4/26/2019 16:00,374.85,5621901
4/29/2019 16:00,371.83,3821703
4/30/2019 16:00,370.54,3870095
5/1/2019 16:00,378.81,9257284
5/2/2019 16:00,379.06,5398167
5/3/2019 16:00,385.03,5130301
5/6/2019 16:00,378.67,5793144
5/7/2019 16:00,370.46,6974924
5/8/2019 16:00,364.37,6571957
5/9/2019 16:00,362.75,5882572
5/10/2019 16:00,361.04,5657123
5/13/2019 16:00,345.26,8026697
5/14/2019 16:00,345.61,5353029
5/15/2019 16:00,354.99,6340118
5/16/2019 16:00,359.31,6441463
5/17/2019 16:00,354.45,4725448
5/20/2019 16:00,348.11,4621515
5/21/2019 16:00,354.27,4026369
5/22/2019 16:00,359.73,6229389
5/23/2019 16:00,352.21,5630443
5/24/2019 16:00,354.39,3830963
5/28/2019 16:00,354.78,4717144
5/29/2019 16:00,349.19,5658913
5/30/2019 16:00,351.85,4008042
5/31/2019 16:00,343.28,5023449
6/3/2019 16:00,336.63,7849589
6/4/2019 16:00,353.4,7891632
6/5/2019 16:00,355.73,5020081
6/6/2019 16:00,357.13,3709955
6/7/2019 16:00,360.87,4777321
6/10/2019 16:00,352.01,7810261
6/11/2019 16:00,351.27,5396712
6/12/2019 16:00,345.56,4584704
6/13/2019 16:00,343.43,6209347
6/14/2019 16:00,339.73,5019011
6/17/2019 16:00,350.62,5358219
6/18/2019 16:00,357.12,5428542
6/19/2019 16:00,363.52,5667156
6/20/2019 16:00,365.21,5899467
6/21/2019 16:00,369.21,7448356
6/24/2019 16:00,371.04,4830240
6/25/2019 16:00,360.3,5750383
6/26/2019 16:00,362.2,3669677
6/27/2019 16:00,370.02,4138575
6/28/2019 16:00,367.32,4592706
7/1/2019 16:00,374.6,5001518
7/2/2019 16:00,375.43,3628962
7/3/2019 13:00,381.72,3799009
7/5/2019 16:00,380.55,3732162
7/8/2019 16:00,376.16,3113402
7/9/2019 16:00,379.93,6932822
7/10/2019 16:00,381,5878790
7/11/2019 16:00,379.5,4336287
7/12/2019 16:00,373.25,6636937
7/15/2019 16:00,366.6,7944680
7/16/2019 16:00,365.99,5863222
7/17/2019 16:00,362.44,13639536
7/18/2019 16:00,325.21,31305899
7/19/2019 16:00,315.1,16302482
7/22/2019 16:00,310.62,17725334
7/23/2019 16:00,307.3,9171068
7/24/2019 16:00,317.94,11961818
7/25/2019 16:00,326.46,10798496
7/26/2019 16:00,335.78,10847495
7/29/2019 16:00,332.7,5782817
7/30/2019 16:00,325.93,6029320
7/31/2019 16:00,322.99,6259494
8/1/2019 16:00,319.5,6563156
8/2/2019 16:00,318.83,6280343
8/5/2019 16:00,307.63,8692485
8/6/2019 16:00,310.1,6179090
8/7/2019 16:00,304.29,9322433
8/8/2019 16:00,315.9,5905865
8/9/2019 16:00,308.93,5349059
8/12/2019 16:00,310.83,6531722
8/13/2019 16:00,312.28,5338761
8/14/2019 16:00,299.11,7355753
8/15/2019 16:00,295.76,9683384
8/16/2019 16:00,302.8,7090757
8/19/2019 16:00,309.38,4951733
8/20/2019 16:00,298.99,7352162
8/21/2019 16:00,297.81,5689746
8/22/2019 16:00,296.93,4977042
8/23/2019 16:00,291.44,6331189
8/26/2019 16:00,294.98,4696982
8/27/2019 16:00,291.03,6314559
8/28/2019 16:00,291.77,3958043
8/29/2019 16:00,296.78,4392532
8/30/2019 16:00,293.75,4447990
9/3/2019 16:00,289.29,3684177
9/4/2019 16:00,291.52,4653665
9/5/2019 16:00,293.25,8972356
9/6/2019 16:00,290.17,5166556
9/9/2019 16:00,294.34,8232744
9/10/2019 16:00,287.99,12320248
9/11/2019 16:00,288.27,7405949
9/12/2019 16:00,288.86,5010927
9/13/2019 16:00,294.15,6583124
9/16/2019 16:00,294.29,5307386
9/17/2019 16:00,298.6,4817119
9/18/2019 16:00,291.56,7841539
9/19/2019 16:00,286.6,8545761
9/20/2019 16:00,270.75,23954192
9/23/2019 16:00,265.92,13610294
9/24/2019 16:00,254.59,16392808
9/25/2019 16:00,264.75,11846748
9/26/2019 16:00,263.31,7696858
9/27/2019 16:00,263.08,7367491
9/30/2019 16:00,267.62,6823100
10/1/2019 16:00,269.58,8786284
10/2/2019 16:00,268.03,7773299
10/3/2019 16:00,268.15,9068810
10/4/2019 16:00,272.79,9992774
10/7/2019 16:00,274.46,6796811
10/8/2019 16:00,270.72,6302269
10/9/2019 16:00,267.53,6843488
10/10/2019 16:00,280.48,10961191
10/11/2019 16:00,282.93,8817301
10/14/2019 16:00,285.53,5543120
10/15/2019 16:00,284.25,7728161
10/16/2019 16:00,286.28,18413335
10/17/2019 16:00,293.35,38462343
10/18/2019 16:00,275.3,23449638
10/21/2019 16:00,278.05,12633959
10/22/2019 16:00,266.69,11865593
10/23/2019 16:00,271.27,7154430
10/24/2019 16:00,271.5,4911033
10/25/2019 16:00,276.82,4747829
10/28/2019 16:00,281.86,6248433
10/29/2019 16:00,281.21,4356181
10/30/2019 16:00,291.45,9345562
10/31/2019 16:00,287.41,5090021
11/1/2019 16:00,286.81,5594293
11/4/2019 16:00,292.86,5566213
11/5/2019 16:00,288.03,4062370
11/6/2019 16:00,288.59,3438257
11/7/2019 16:00,289.57,5928471
11/8/2019 16:00,291.57,4509588
11/11/2019 16:00,294.18,3945885
11/12/2019 16:00,292.01,5774833
11/13/2019 16:00,283.11,9233066
11/14/2019 16:00,289.62,6539771
11/15/2019 16:00,295.03,6337779
11/18/2019 16:00,302.57,8621566
11/19/2019 16:00,302.6,5919710
11/20/2019 16:00,305.16,5115546
11/21/2019 16:00,311.69,7488373
11/22/2019 16:00,310.48,5970056
11/25/2019 16:00,315.55,7878943
11/26/2019 16:00,312.49,5328348
11/27/2019 16:00,315.93,4100975
11/29/2019 13:00,314.66,2411749
12/2/2019 16:00,309.99,6223135
12/3/2019 16:00,306.16,5272447
12/4/2019 16:00,304.32,3513551
12/5/2019 16:00,302.86,4618867
